生命人寿职业代码（第三版）,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
行业,,,,,,职业,,,,,代码,,意外险,,,寿险,,豁免
,,,,,"经理人员(不亲自作业,偶至现场指导)",,,,,,101002,,2,,,标准,,1
,,,,,技师,,,,,,101003,,4,,,标准,,1
,,,,,工程师,,,,,,101004,,3,,,标准,,1
,,,,,领班、监工,,,,,,101005,,4,,,标准,,1
,,,,,工人,,,,,,101006,,6,,,25,,1.5
,,,,,车间统计员、车间主任,,,,,,101007,,2,,,标准,,1
,,,,,仓库管理员,,,,,,101008,,5,,,标准,,1
,,,,,检验员,,,,,,101009,,4,,,标准,,1
,,,,,搬运工人,,,,,,101010,,拒保,,,25,,1.5
,,,,,炼铁,,,,,,,,,,,,,
,,,,,炼铁-冶炼风机工人,,,,,,101011,,3,,,标准,,1
,,,,,炼铁-烧结球团原料工人,,,,,,101012,,4,,,标准,,1
,,,,,炼铁-烧结工人,,,,,,101013,,4,,,标准,,1
,,,,,炼铁-球团焙烧工人,,,,,,101014,,4,,,标准,,1
炼铁-绕结成品工人,,,,,,,101015,4,,标准,,1,,,,,,
炼铁-高炉原料工人,,,,,,,101016,5,,25,,1.5,,,,,,
炼铁-高炉炉前工人,,,,,,,101017,拒保,,拒保,,拒保,,,,,,
炼铁-高炉运转工人,,,,,,,101018,5,,25,,1.5,,,,,,
炼钢,,,,,,,,,,,,,,,,,,
炼钢-炼钢原料工人,,,,,,,101019,6,,50,,2,,,,,,
炼钢-平炉炼钢工人,,,,,,,101020,6,,50,,2,,,,,,
炼钢-转炉炼钢工人,,,,,,,101021,6,,50,,2,,,,,,
炼钢-电炉炼钢工人,,,,,,,101022,6,,50,,2,,,,,,
炼钢-炼钢浇铸工人,,,,,,,101023,6,,50,,2,,,,,,
炼钢-炼钢准备工人,,,,,,,101024,5,,25,,1.5,,,,,,
炼钢-整脱模工人,,,,,,,101025,5,,25,,1.5,,,,,,
铁合金冶炼,,,,,,,,,,,,,,,,,,
铁合金冶炼-铁合金原料工人,,,,,,,101026,3,,标准,,1,,,,,,
铁合金冶炼-铁合金电炉治炼工人,,,,,,,101027,5,,25,,1.5,,,,,,
铁合金冶炼-铁合金焙烧工人,,,,,,,101028,4,,标准,,1,,,,,,
铁合金冶炼-铁合金湿法治炼工人,,,,,,,101029,4,,标准,,1,,,,,,
铁合金冶炼-铁合金炉外法治炼工人,,,,,,,101030,4,,标准,,1,,,,,,
重有色金属冶炼,,,,,,,,,,,,,,,,,,
重有色金属冶炼-重冶备料工人,,,,,,,101031,4,,标准,,1,,,,,,
重有色金属冶炼-焙烧工人,,,,,,,101032,4,,标准,,1,,,,,,
重有色金属冶炼-火法冶炼工人,,,,,,,101033,5,,25,,1.5,,,,,,
重有色金属冶炼-湿法冶炼钢工人,,,,,,,101034,4,,标准,,1,,,,,,
重有色金属冶炼-电解精炼工人,,,,,,,101035,4,,标准,,1,,,,,,
重有色金属冶炼-烟气制酸工人,,,,,,,101036,5,,25,,1.5,,,,,,
